"319","1962","8",".3","","","Bischoff, Kat., [vol. 3]."
"365","1972","8",".3","","","Bischoff, Kat., [vol. 3]."
"367","1978","8",".3","","","Bischoff, Kat., [vol. 3]."
"407","1984","8",".3","","","Bischoff, Kat., [vol. 3]."
"542","1984","43","444","","","CG (OS) 2 [Troyes], 444."
"422","1988","8",".3","","","Bischoff, Kat., [vol. 3]."
"74","2013","8","93","443","","Bischoff, Kat., no. 443."
"297","2048","8",".3","","","Bischoff, Kat., [vol. 3]."
"412","2053","8",".3","","","Bischoff, Kat., [vol. 3]."
"347","2078","8",".3","","","Bischoff, Kat., [vol. 3]."
"223","2108","8","","2674","","Bischoff, Kat., no. 2674."
"81","2109","8","","644","","Bischoff, Kat., no. 644."
"165","2112","8","","1827","","Bischoff, Kat., no. 1827."
"564","2116","54","","3","","Quaritch Cat. 1088 (1988), no. 3."
"402","2118","8",".3","","","Bischoff, Kat., [vol. 3]."
"207","2128","18","","","","Westgard 2010a."
"206","2129","18","","","","Westgard 2010a."
"13","2139","7","44","","","Gneuss and Lapidge 2003, 44 and passim."
"12","2140","6","13014751","","","Lapidge 1995, 130 and 147-51."
"14","2140","7","44","","","Gneuss and Lapidge 2003, 44 and passim."
"15","2141","7","44","","","Gneuss and Lapidge 2003, 44 and passim."
"16","2142","7","44","","","Gneuss and Lapidge 2003, 44 and passim."
"17","2143","1","","442.4","number(s)","Gneuss, Handlist, no. 442.4."
"26","2144","1","","784","number(s)","Gneuss, Handlist, no. 784."
"24","2145","1","","809.9","number(s)","Gneuss, Handlist, no. 809.9."
"32","2146","1","","418.8","number(s)","Gneuss, Handlist, no. 418.8."
"38","2147","1","","875.4","number(s)","Gneuss, Handlist, no. 875.4."
"40","2148","1","","373","number(s)","Gneuss, Handlist, no. 373."
"41","2149","1","","451","number(s)","Gneuss, Handlist, no. 451."
"45","2153","8","7","4","number(s)","Bischoff, Kat., no. 4."
"51","2155","8","27","92","","Bischoff, Kat., no. 92."
"53","2156","8","28","101","","Bischoff, Kat., no. 101."
"56","2157","8","30","112","","Bischoff, Kat., no. 112."
"60","2158","8","","173","","Bischoff, Kat., no. 173."
"62","2159","8","55","248","","Bischoff, Kat., no. 248."
"63","2160","8","56","253","","Bischoff, Kat., no. 253."
"64","2161","8","","295","","Bischoff, Kat., no. 295."
"65","2162","8","","302","","Bischoff, Kat., no. 302."
"66","2163","8","65","306","","Bischoff, Kat., no. 306."
"67","2164","8","","373","","Bischoff, Kat., no. 373."
"68","2165","8","","394","","Bischoff, Kat., no. 394."
"71","2166","8","9192","436","","Bischoff, Kat., no. 436."
"75","2167","8","103103","487","","Bischoff, Kat., no. 487."
"80","2168","8","","512","","Bischoff, Kat., no. 512."
"84","2170","8","","659","","Bischoff, Kat., no. 659."
"87","2171","8","","729","","Bischoff, Kat., no. 729."
"88","2172","8","","778","","Bischoff, Kat., no. 778."
"98","2173","8","","889","","Bischoff, Kat., no. 889."
"99","2174","8","","1873","","Bischoff, Kat., no. 1873."
"105","2175","8","","1966","","Bischoff, Kat., no. 1966."
"106","2176","8","","1972","","Bischoff, Kat., no. 1972."
"108","2177","8","","990","","Bischoff, Kat., no. 990."
"109","2178","8","","998","","Bischoff, Kat., no. 998."
"111","2179","8","","1642","","Bischoff, Kat., no. 1642."
"113","2180","8","","1023","","Bischoff, Kat., no. 1023."
"116","2181","8","","II.1173","","Bischoff, Kat., no. II.1173."
"188","2181","14","138","","","Dionisotti 1982, 138."
"117","2182","8","250","","","Bischoff, Kat., 250."
"119","2183","8","","1260","","Bischoff, Kat., no. 1260."
"120","2184","8","","1268","","Bischoff, Kat., no. 1268."
"121","2185","8","","1272","","Bischoff, Kat., no. 1272."
"123","2186","8","","1327","","Bischoff, Kat., no. 1327."
"124","2187","8","","1278","","Bischoff, Kat., no. 1278."
"125","2188","8","","1279","","Bischoff, Kat., no. 1279."
"126","2189","8","","1283","","Bischoff, Kat., no. 1283."
"127","2190","8","","1301","","Bischoff, Kat., no. 1301."
"130","2191","8","","1360","","Bischoff, Kat., no. 1360."
"131","2192","8","","1364","","Bischoff, Kat., no. 1364."
"132","2193","8","","1366","","Bischoff, Kat., no. 1366."
"133","2194","8","","1371","","Bischoff, Kat., no. 1371."
"134","2195","8","","1394","","Bischoff, Kat., no. 1394."
"136","2196","8","","1401","","Bischoff, Kat., no. 1401."
"137","2197","8","","1499","","Bischoff, Kat., no. 1499."
"138","2198","8","","1462","","Bischoff, Kat., no. 1462."
"139","2199","8","","1504","","Bischoff, Kat., no. 1504."
"140","2200","8","","1522","","Bischoff, Kat., no. 1522."
"141","2201","8","","1430","","Bischoff, Kat., no. 1430."
"159","2202","8","","1678","","Bischoff, Kat., no. 1678."
"160","2203","8","","1585","","Bischoff, Kat., no. 1585."
"163","2204","8","","1794","","Bischoff, Kat., no. 1794."
"166","2205","8","","1826","","Bischoff, Kat., no. 1826."
"167","2206","8","","1839","","Bischoff, Kat., no. 1839."
"172","2207","8","","2049","","Bischoff, Kat., no. 2049."
"173","2208","8","","2125","","Bischoff, Kat., no. 2125."
"176","2209","8",".289","","","Bischoff, Kat., vol. 2, p. 89."
"186","2210","13","47","","","Lapidge 2008, 47."
"187","2212","13","48","","","Lapidge 2008, 48."
"199","2212","14","139","","","Dionisotti 1982, 139."
"189","2213","13","48","","","Lapidge 2008, 48."
"190","2214","13","48","","","Lapidge 2008, 48."
"308","2217","8",".3","","","Bischoff, Kat., [vol. 3]."
"196","2218","14","138","","","Dionisotti 1982, 138."
"197","2220","14","139","","","Dionisotti 1982, 139."
"208","2223","8","","2213","","Bischoff, Kat., no. 2213."
"212","2224","8","","2585","","Bischoff, Kat., no. 2585."
"213","2225","8","","2689","","Bischoff, Kat., no. 2689."
"226","2227","8","","2774","","Bischoff, Kat., no. 2774."
"228","2228","8","","2606","","Bischoff, Kat., no. 2606."
"233","2229","8","","2663","","Bischoff, Kat., no. 2663."
"234","2230","8","","2664","","Bischoff, Kat., no. 2664."
"235","2231","8","","2799","","Bischoff, Kat., no. 2799."
"236","2232","8","","2804","","Bischoff, Kat., no. 2804."
"237","2233","8","","2868","","Bischoff, Kat., no. 2868."
"240","2234","8","","3018","","Bischoff, Kat., no. 3018."
"241","2235","8","","3019","","Bischoff, Kat., no. 3019."
"243","2236","8","","3047","","Bischoff, Kat., no. 3047."
"246","2237","8","","3087","","Bischoff, Kat., no. 3087."
"260","2239","8","","3466","","Bischoff, Kat., no. 3466."
"261","2240","8","","3467","","Bischoff, Kat., no. 3467."
"262","2241","8","","3495","","Bischoff, Kat., no. 3495."
"263","2242","8","","3513","","Bischoff, Kat., no. 3513."
"264","2243","8","","3515","","Bischoff, Kat., no. 3515."
"265","2244","8","","3548","","Bischoff, Kat., no. 3548."
"268","2245","8","","3575","","Bischoff, Kat., no. 3575."
"269","2246","8","","3577","","Bischoff, Kat., no. 3577."
"270","2247","8","","3581","","Bischoff, Kat., no. 3581."
"273","2248","8","","3638","","Bischoff, Kat., no. 3638."
"274","2249","8","","3642","","Bischoff, Kat., no. 3642."
"287","2250","8","","3756","","Bischoff, Kat., no. 3756."
"288","2251","8","","","","Bischoff, Kat.."
"291","2252","8","","3811","","Bischoff, Kat., no. 3811."
"294","2253","8","","","","Bischoff, Kat.."
"295","2254","8",".3","","","Bischoff, Kat., [vol. 3]."
"296","2255","8",".3","","","Bischoff, Kat., [vol. 3]."
"298","2256","8",".3","","","Bischoff, Kat., [vol. 3]."
"299","2257","8",".3","","","Bischoff, Kat., [vol. 3]."
"302","2259","8",".3","","","Bischoff, Kat., [vol. 3]."
"303","2260","8",".3","","","Bischoff, Kat., [vol. 3]."
"305","2261","8",".3","","","Bischoff, Kat., [vol. 3]."
"310","2262","8",".3","","","Bischoff, Kat., [vol. 3]."
"311","2262","12","196","","","Lendinara 2007, 196."
"312","2263","8",".3","","","Bischoff, Kat., [vol. 3]."
"473","2263","12","194","","","Lendinara 2007, 194."
"315","2264","8",".3","","","Bischoff, Kat., [vol. 3]."
"317","2265","8",".3","","","Bischoff, Kat., [vol. 3]."
"318","2266","8",".3","","","Bischoff, Kat., [vol. 3]."
"323","2267","8",".3","","","Bischoff, Kat., [vol. 3]."
"328","2268","8",".3","","","Bischoff, Kat., [vol. 3]."
"332","2269","8",".3","","","Bischoff, Kat., [vol. 3]."
