"388","317","In epistulas VII catholicas","7","","","","","","","","1"
"389","318","In epistulas VII catholicas","7","","","","","","","","1"
"390","324","In epistulas VII catholicas","7","fols. 57-120","","","","","","","1"
"391","325","In epistulas VII catholicas","7","","","","","","","","1"
"392","328","In epistulas VII catholicas","7","","","","","","","","1"
"393","329","In epistulas VII catholicas","7","","","","","","","","1"
"394","329","De tabernaculo","22","","","","","","","","1"
"395","329","De arte metrica","25","","","","","","","","1"
"396","330","In epistulas VII catholicas","7","","","","","","","","1"
"397","331","In epistulas VII catholicas","7","","","","","","","","1"
"398","332","In epistulas VII catholicas","7","","","","","","","","1"
"399","333","In epistulas VII catholicas","7","fols. 239-275v","","","","","2","","1"
"400","333","Historia ecclesiastica gentis Anglorum","41","fols. 1-237","","","","","1","","1"
"401","334","In epistulas VII catholicas","7","fols. 73-206v","","","","","","","1"
"402","335","In epistulas VII catholicas","7","fols. 1-48","","","","","","","1"
"403","336","Collectio ex opusculis s. Augustini in epistulas Pauli","6","","","","","","","","1"
"404","337","Collectio ex opusculis s. Augustini in epistulas Pauli","6","","","","","","","","1"
"405","338","Collectio ex opusculis s. Augustini in epistulas Pauli","6","","","","","","","","1"
"406","340","Collectio ex opusculis s. Augustini in epistulas Pauli","6","","","","","","","","1"
